class,x,y
D,-1.73210458273,-1.13908507711
C,-1.88144021114,-2.557898991
D,-2.21683757356,-0.721566986856
D,-1.65108163107,-0.2993802646
B,-2.70315752444,-1.4868351435
D,-1.9714016854,-0.436690257873
C,-2.15812111434,-2.66204515369
A,-0.182311219577,1.49781997927
A,-0.3928083598,1.19865951438
C,-1.72943061322,-2.65125180997
D,-2.056813479,-1.03548038015
D,-1.94774137946,-0.946524206052
B,-2.93401726425,-1.04248648769
B,-2.55349917554,-0.49751895197
C,-2.36460413182,-2.51715648852
A,-0.591628799654,1.50757137401
C,-2.30044771537,-2.79492782106
A,-0.326886620496,1.2954968611
C,-2.11337136219,-2.83867498645
D,-2.86001848179,-0.248500552976
C,-2.31048561389,-2.5155616834
B,-2.87662265856,-1.64530375814
B,-3.10785462183,-2.03819778165
B,-3.2340455513,-1.053857239
D,-1.58983707993,-0.38645994896
D,-1.16452802673,-0.721653937681
B,-3.21631404648,-0.941693352284
A,-0.759373374597,1.91430607101
A,-0.558217844427,1.01469651438
D,-2.4684072644,-0.637875199188
C,-2.0212318781,-2.4715578777
B,-2.69520359614,-0.923360490256
D,-2.18389945801,-0.690486603751
B,-2.84483619585,-1.22105889586
B,-2.72183134802,-1.4042403196
D,-1.78277689294,-0.83477203183
C,-1.9012878933,-2.59820327042
B,-3.01285717934,-1.75152488836
B,-3.11966253755,-1.17074566432
D,-1.79750442736,-0.855995075136
A,-0.897749341092,1.19967700781
A,-0.883084683809,1.7226002591
A,-0.417334814407,1.58865087376
C,-1.5535322955,-2.27000912269
B,-2.63572514045,-0.420561687768
B,-3.41905756241,-0.883833703069
C,-1.92249827128,-2.3617104491
A,-0.182568389542,1.08264220994
C,-2.69721709814,-2.75766288584
A,0.0138698061812,0.600897712329
A,-0.386204288165,1.23466732924
B,-3.64960740365,-0.75334715355
A,-0.38739574025,0.614176535115
B,-2.60681755321,-1.04288937593
D,-1.75422252664,-1.29224192141
A,-0.761907251133,1.76045081498
C,-2.34588549599,-2.13044801931
B,-2.91794065538,-0.947111571806
D,-2.15610782067,-1.07976378173
B,-3.47990481318,-1.07569877699
D,-1.84903995122,-0.604128113711
C,-2.10418050748,-2.52517841627
D,-1.78566397505,-1.18328069911
A,-0.480085257613,1.09899848435
B,-2.81711203312,-1.58652405058
D,-1.6168567507,-0.616917552679
B,-3.07712860101,-1.25626988833
A,-0.739949234888,1.18308322625
C,-2.58564773838,-3.06220942753
A,-0.570980953466,1.52726507757
D,-1.15941456966,-1.44154056178
C,-1.23455065772,-2.53299060359
B,-3.38253289711,-1.12672071264
B,-2.42963598749,-1.06770047041
D,-2.17299889509,-1.23483779769
A,-0.610713993189,1.18752793652
C,-1.90865290699,-2.29886966011
C,-1.94614069171,-2.5071145373
B,-3.00792968565,-1.45731113092
A,-1.00330780368,1.14538390862
C,-1.77424733936,-2.37123156592
A,-0.483093160434,1.52593228545
D,-1.8611761632,-0.852741973489
B,-3.42983409858,-0.993316440617
D,-2.00318425529,-1.00742954784
D,-1.84526077832,-1.46062374842
C,-2.16722031546,-2.48763739711
D,-1.87665408318,-0.864619935645
C,-1.94334997039,-1.9933393725
D,-1.60417959869,-1.05768904934
D,-2.27320323799,-0.898311152401
C,-2.31627155595,-1.76176110513
B,-2.71866238994,-1.16970600976
B,-3.06461317126,-1.22161561959
A,-0.431047552151,2.05703625842
C,-1.45283410718,-2.05709858689
A,-0.441854997478,1.62860608304
D,-1.88310075073,-1.41545278635
C,-2.54637519404,-1.58868940422
B,-3.15580874877,-0.757426867527
A,0.112816145691,1.05552454534
A,0.267083420502,0.833173243232
A,-0.204223776928,1.64783268911
A,-0.605039376204,1.61173808557
A,-0.738378416826,1.02612498613
B,-2.97207635633,-0.969571472509
D,-1.73638302999,-0.651965909886
C,-1.83563156962,-2.08041369824
A,-0.194975301521,0.516408416745
C,-2.51115504459,-1.76134081509
D,-1.83552186294,-0.505916435972
C,-1.62682565501,-2.40078287849
A,0.0830627902039,1.58166241686
A,-0.888926593807,1.40399245489
B,-3.13066348363,-1.40956020682
B,-2.92990884905,-1.14435153818
C,-1.35271974996,-3.1096947544
C,-2.23373947942,-2.91590495767
D,-1.91201654133,-1.03071229671
D,-1.71012093716,-1.16487298709
B,-2.95667630625,-0.79068519644
B,-3.06263585682,-1.39737678394
D,-1.92460133186,-1.35822789515
B,-2.85109072717,-1.15893554029
D,-2.38674534024,-0.495347062952
C,-2.25977202222,-2.15756646493
B,-2.74011899321,-1.51979977484
D,-2.18948726336,-1.23036116575
C,-1.7133461556,-2.31664598066
A,-0.540879550716,0.994427658662
C,-2.56486021943,-2.33622672923
B,-2.81400088757,-1.13780914071
C,-2.03238494861,-2.54979283472
B,-2.57969249313,-1.12119981809
A,-0.397912407946,1.63174636815
A,-0.732804117577,1.31751435103
C,-1.65345466569,-2.5465261836
D,-1.66595003596,-1.08174581349
B,-2.85809167647,-0.978252081076
A,-0.101797686177,1.8538828464
D,-1.24875151179,-1.38364006064
B,-3.0924902282,-1.17458947287
A,-0.565010415111,1.01127682322
A,-0.318342534638,1.21761446837
A,-0.455812338416,1.53796804905
C,-1.57388271588,-2.40767748764
D,-2.29625007601,-1.15964971911
C,-2.55236333689,-2.13942480671
C,-1.88879722646,-3.0155718506
A,-0.101048666967,0.936985017093
