class,x,y
D,-4.83123387682,-4.3236770014
B,-0.223136881981,0.82099252053
A,-3.8867898131,-0.000883932667585
B,1.12998013899,-0.711022250679
B,0.126010503497,-2.60799125129
A,-1.01657366217,0.433668594939
C,-5.3122621135,-4.56229202935
C,-3.28843792666,-0.284229546079
A,-1.64562692115,0.535073349339
C,-3.09318442361,-3.9015654265
D,0.315017842526,-1.97368607809
D,0.502252441619,-1.59136635429
A,-0.891688101148,-1.29478726548
A,-4.99221661847,-3.13101028894
D,-5.78008618895,-3.90486152244
A,-2.57924624854,-0.0627686386781
C,0.0807246637305,-3.01542607199
B,0.0789600219056,-2.80180762939
D,-2.05773746254,-0.746009267707
D,-3.81402067875,-6.15344740996
A,-0.767033616633,0.742977450105
A,-3.86939182127,-0.543630988152
B,-0.0792962724698,-2.29975217008
B,1.26147481083,-2.30874353562
A,-2.91816900287,-1.56861394509
C,-5.12624977881,2.18040485172
B,3.16705423363,-5.56759595852
B,0.56645235975,-3.53235047227
B,-1.90562240594,-5.41366834232
A,-4.41241586615,1.72637560794
B,0.780566790921,-1.42677637318
B,-0.329551068787,-1.00941188617
C,-4.24303528183,0.177834766427
B,-2.8073064784,-2.00342334179
C,-4.11628920197,-1.75920787749
A,-4.25012824891,-1.31216587261
A,-0.201770868933,0.0614600442418
D,-1.4096401272,-2.91771265648
A,-3.21891404313,-2.57171692867
A,-1.99593901204,0.328309136258
B,0.0703619000918,0.916835708491
D,-0.249329067668,-1.40324468507
A,-3.68938117047,-1.83487561281
C,-0.527954832814,-0.446628637888
A,-5.30763804899,-2.05025627685
C,-2.02473646346,-0.67304914417
A,-0.676832563132,2.09604244782
A,-1.59997635736,0.254356935138
D,1.46823698336,-3.45058789115
D,-1.6667339919,0.246489190061
D,-0.387996483878,-1.54073077624
D,3.02378522009,-1.22245035612
D,-1.44077775166,-2.45750184314
A,0.180961351296,-1.08135281686
B,1.4264194744,-2.28531499237
B,-1.69538222581,-1.22577815649
D,-0.540760973577,-5.68509723675
B,0.0144086238067,-7.39406991157
B,1.49588533583,-2.22983036403
C,-0.310883887846,-0.980857080075
B,0.710545940269,-3.28569654224
B,3.01844549975,0.937422542513
C,-1.70871921791,0.0634177659213
C,-0.74166042536,-2.83726083549
D,-0.53078075384,-1.68673847067
B,-0.664471668341,-2.08153403587
D,2.04232007982,-4.03808558733
B,-3.02602314353,0.35465918266
C,-1.14648855632,-1.79834910486
D,-1.54188048775,-1.30727804218
B,-0.684113398964,-0.938180132746
C,-4.1842393668,-0.243157610107
B,0.842717234168,2.89656924932
C,-3.82287679225,-1.79058594967
D,1.4840354016,-1.36595631364
D,-1.35046139697,-0.461307402264
A,-1.25243502357,-1.6153031962
B,-2.55783880048,-5.26746290101
A,-3.9252487045,-0.740947815817
C,2.15819141775,-5.09389263626
A,-5.42849796816,0.620337746237
A,-1.1707146134,-1.04915080852
A,-3.10163401161,-2.42600527661
B,3.11744578691,-0.609120996478
A,-3.41911623369,-1.28464736755
D,-2.32143532919,-2.91319081688
C,-2.08542979536,-0.60003832681
B,1.93972382932,-4.86596657838
B,-2.04927844352,-3.84566462013
D,-2.18248504116,-3.46460179135
C,-5.40760039104,-0.408185031739
A,-3.21200509744,2.60640557705
A,-7.45422893207,1.37115733582
A,1.4950860056,4.51721047872
C,-0.106492792027,-1.26092578997
A,-3.45388299941,-0.707194808666
B,-0.225328739924,-3.04259666266
C,-4.75889955942,0.000437646209401
B,-0.361922655491,-1.28597007036
A,-4.09503239407,0.175352550945
D,1.16595360516,0.781869950415
C,-1.10150151192,0.109770643254
B,0.0700140395648,-5.35869882873
B,-0.0431957590272,0.881256495391
A,-6.55543605707,0.690749857659
D,-0.0553571582176,-5.047703529
C,-1.81309332951,-5.14860719675
B,1.67125070289,0.878324923787
C,-1.77133121444,-0.389872606114
D,1.39791298582,-5.18306824635
B,0.0414724723014,-4.81728678674
D,-3.65314968986,-2.64900427986
A,-0.477290032073,3.3094571023
A,0.267505099432,3.14030309288
C,-5.19959662799,0.594383803181
B,-2.11077633245,-1.6610581808
A,1.09638575435,1.49763627606
D,-1.75410898819,1.88495059166
B,-0.42497952478,-3.359311604
B,1.15704315846,2.82521413302
C,1.15051819064,-2.12066869046
A,-5.42656445137,1.88986733628
A,-5.12883433547,4.81393349935
A,-8.24921940675,-0.104116944664
C,-4.21251337083,-4.54442104717
B,-1.66452929056,-4.42508652795
A,-3.27723461596,4.84546019984
C,-7.90761837541,-1.3515715842
A,-6.28363133739,-1.6898561266
D,1.52638345276,2.03254515178
D,-0.0399917258525,0.309796264778
B,-2.15945183092,-1.89159678093
D,-1.11605023917,-4.11773051369
B,-0.313526133784,0.6017820886
A,-5.32445910617,0.9279322907
B,-2.09334093628,-4.57868881072
C,-1.47216958084,0.985074998048
D,-2.61501187415,-2.17128938877
B,2.66242980854,-0.541491898017
A,-5.58900193869,1.88530444819
C,0.355209261063,-2.60598347505
C,-2.07212847269,-2.54425695046
D,-0.907061284145,-0.735048739115
C,-3.58796960792,-1.4189212833
B,1.39659805569,-2.5308003555
A,-0.145934094992,2.17500680862
B,-0.0692993606177,-1.59337502737
A,-3.41937089643,0.552862043738
A,-5.07877969189,-2.53517249999
C,-1.95209287547,-3.29134194505
A,-3.17977423999,-2.05436187267
C,-3.16179027412,2.79307485966
C,-3.62231960436,-2.25524993587
B,-2.04657693149,-0.246642483035
C,-1.18017930904,-0.17705087512
B,-3.27081905837,-2.47175036718
B,1.12848405572,2.16307572782
C,-1.94745631931,-1.89534832946
A,-3.00775988022,0.350794097984
B,1.42686762286,-2.18569989248
B,-2.92768561425,-3.47600821489
B,-3.98310698003,-2.60377468553
D,-5.28325120369,-1.06056622469
C,-4.78115770999,1.65075174992
B,-0.749834770778,-2.66000956321
B,1.63495145365,-1.37925968123
A,-3.18615657881,-0.293688742819
B,-2.14219186249,-0.393289548604
C,-1.54467610894,-5.14006985375
D,1.88501863665,-5.29710378291
A,-5.35943256459,-0.995563200961
A,-5.00976782695,-0.256600402751
D,0.424814249472,0.820223723204
C,-5.66508493995,-1.4347410579
C,-0.140410815212,-0.743086769293
C,-4.37322689029,0.257724839786
