class,x,y
B,-2.35308783901,3.29990339117
D,1.57809386993,-0.0171502947159
A,-1.66475213053,2.11846339501
C,-0.680100225022,1.19515743989
D,1.11949630824,1.1214166669
C,0.766411089541,0.957866822454
C,-0.0453221228449,0.430481442725
C,0.430085176634,-0.48108106786
A,-2.97881410684,1.53482860502
D,1.55351078876,1.18505070658
D,2.73887502652,-0.398564671222
C,1.37434823615,1.11341943828
B,-3.24094426944,2.4947201299
B,-0.832168860046,4.15161951385
C,1.15263768965,-0.143448830331
C,-0.302089091046,2.00561351404
A,0.420473714136,2.57131316415
C,-1.09910636147,-0.665817131806
C,-1.10802810734,0.498754128977
A,-2.53992015672,1.8018859079
D,1.64052529697,-0.653238965609
D,1.64439176899,-1.91589396126
D,2.29166912711,1.00991338961
C,-0.515989593924,0.620674493104
C,-0.41884099278,0.229724714767
C,-0.437477435782,2.78195158179
D,0.719761221958,-0.427601391958
C,-0.636584035498,1.08414198576
B,-0.308951524445,3.11853576677
A,-2.86080558588,2.01951732648
C,-1.06512916614,1.57735264498
C,-0.128884848109,-1.71623456696
A,-2.02686992046,2.82786543967
C,0.840577696676,1.28830792826
B,-2.64910580208,1.21071399593
D,0.666820625865,0.0750354402915
B,-2.52044537656,1.80050221932
B,-0.357518447588,2.97676644134
A,-2.57727337832,1.63275717913
A,-0.516649963974,4.0817248443
D,2.24834015366,0.616347719133
D,0.901647792065,0.529705684878
C,0.398172347398,0.771807967558
B,-3.54083636597,1.76375966031
C,0.88672899015,0.0319526219954
B,-1.71372984386,2.02453280212
C,-0.370537995615,-0.447943253865
B,-2.20511505946,2.02954526092
A,-2.10374489249,3.19657314674
D,2.02261115885,2.69907751288
A,-3.54578185741,3.76314998247
B,-0.618177330529,2.00990990043
C,-0.692905104757,-0.41023877483
D,1.94153060744,-0.395802202051
A,-2.83274288358,0.827319812396
D,1.42908652752,1.46362103774
B,-1.83883642915,1.81883910562
A,-1.90875211573,1.40027038365
A,-2.24555420669,3.37659860744
A,-0.478980247637,2.15080051832
B,-1.45408489576,3.03351493794
B,-0.967262450657,2.68242990009
D,0.317231439872,-0.882261518917
A,-0.79538635221,2.02227565944
B,0.313930460693,3.22146330742
B,-2.13530591204,1.08974089853
A,-2.64864885868,1.36754068235
A,-2.26640090688,1.98097413582
D,1.05496518089,0.656685353606
B,-2.47015151496,2.2964776452
A,-0.874987654,1.59282220727
C,0.141009588797,1.01696492789
A,0.153323765123,1.79736245116
D,2.22163974616,0.577939985507
D,2.3073363994,1.30766241752
C,-0.579788923307,1.18772253213
D,3.03839714898,-1.13348720698
C,-1.33361621037,0.097247621402
A,-1.56730278471,2.57983230941
A,-1.39842856701,3.51635722045
B,-1.26612740701,3.01215277512
B,-2.16720423317,1.69904068652
A,-1.47038088242,3.55924241131
A,-1.67423588195,2.12332622526
B,-1.01395811793,3.28857303875
C,-0.192062959925,-0.137279918135
A,-3.17922053115,2.86924134796
A,-0.528697994636,2.71883423519
B,-3.35938357185,3.38881825981
D,0.292825707132,-0.459581722462
C,-0.680049267868,-1.0334222301
B,-3.45336010881,2.81531391294
D,2.80382521203,0.80376163155
C,-1.3491560495,0.707005818903
C,0.124904510569,0.698704425894
B,-0.0212362537258,3.97687033206
C,0.863027639086,0.882506496186
C,0.18028444869,1.81766525903
B,-1.85351751663,2.45599441294
D,0.0945877386028,1.29625236171
D,2.49044807767,-0.0656954389416
A,-4.52772894008,3.01376024124
B,-0.547401662419,1.87701294801
A,-1.72034912431,2.47361149563
A,-1.0114215032,2.34920066239
D,-0.214104089942,-0.145009815033
A,-1.77520495829,4.48450061078
A,-2.0043772326,2.12377949076
C,-0.715889452755,1.21903101427
D,2.22432747034,-0.31508419903
B,-2.12809459895,0.262547319184
D,1.52538011383,0.408735048964
D,1.2197397291,0.145151803005
D,2.5986566987,-0.667669681456
B,-1.01253247575,3.9747609273
A,-1.75491657974,3.78592613051
B,-1.26135585326,3.52980305719
C,-0.438077646312,0.478723608964
B,0.473585745781,2.4769633464
D,1.28230863169,-0.496481608339
C,-0.41114790313,-0.260437303111
A,-0.671601146548,2.93681510794
B,-4.09530688891,1.34438699792
C,-0.212659284888,0.446273344843
B,-0.943552706807,2.23023532642
C,0.406813309116,0.256284911828
D,1.4612301446,0.943101540262
A,-1.60889673024,1.86108295858
D,2.45509309064,-0.17698868237
D,-1.17913622189,1.18913605849
C,-1.19082046813,2.14330790714
A,-1.09990825573,2.23715215377
C,0.428990756388,-0.0356306925215
D,0.104318280064,-1.17159955282
A,-0.25464295554,2.44564795992
A,-1.48043774762,1.89452387928
B,-2.82471768735,2.90208605567
D,0.880365896904,0.0592694021617
D,1.45024695232,1.07430922712
B,-2.60615368484,5.03247308178
A,-1.97389399463,1.74666241979
B,-2.168677406,1.75683485722
A,-3.33282950293,1.52421479937
D,2.31039708512,-0.692944673578
B,-0.741263934775,3.57301688631
D,-0.212469485334,1.10447690411
C,0.750147052845,1.20209690171
B,-2.99207118277,3.23861870832
B,-1.30202699638,4.74963105936
B,-3.51342592844,3.14196192422
