class,x,y
C,-0.84488648052,-3.15794714153
B,0.464041291764,0.779122535961
C,-0.501515755283,-1.76092413088
C,-0.384093906157,-1.25321667383
C,-0.485348897093,-1.67229954304
D,-0.370337242266,-0.389644793012
A,-0.1329021829,-1.48920249125
B,0.48176544157,2.07083181312
C,-0.465581586437,-1.57614521049
B,0.000158640060666,-0.474640746488
D,-0.108465560061,0.314972534331
B,0.248728506475,0.116507909032
D,0.0861202877243,0.897062338474
D,-0.140879663504,0.0454986116637
A,-0.153907728134,-1.25981092979
A,-0.213589923068,-2.09550160469
C,-0.472172054369,-1.62104763117
C,-0.22153330373,-0.588979140369
B,0.315458049259,0.226233661428
B,0.214068494743,1.17693751968
C,-0.319263937126,-1.03329189146
B,0.441555146292,1.66959965455
B,0.202776540907,0.865743871914
A,-0.113617395432,-0.934223072215
D,-0.236792955104,0.112349062959
C,-0.210335841942,-0.584051715955
B,0.165055468389,1.09277617759
C,-0.405293703522,-1.33314619189
D,-0.072784731542,0.469498611345
C,-0.301326603015,-0.891838223621
C,0.11673355944,0.834003723577
C,-0.719371655521,-2.6788940884
D,0.770219873496,3.27359067893
A,-0.114050574091,-1.06889840823
D,0.422730936956,2.2014861394
C,-0.790794065875,-2.90834044902
C,-0.531874877911,-1.84996247031
C,-0.395991089865,-1.31282205658
A,-0.176914163462,-1.61271254356
A,-0.122602852484,-1.67632751237
C,-0.501806732471,-1.7667504434
C,-0.499818960057,-1.72757257194
B,0.633612443389,1.36908588837
D,-0.277113061625,-0.189573567217
C,0.128789871056,0.868741966921
C,-0.0186549369955,0.270694861875
C,-0.369277463275,-1.19240944721
A,-0.313548670679,-1.90518457893
B,0.585480681018,1.79299153775
A,-0.103120764886,-1.10490749437
B,0.0377400193192,0.0560256273862
D,-0.632468526268,-1.32404726769
A,0.0483945113542,-0.240470171946
A,-0.0983033665546,-0.785784403237
C,-0.197092411338,-0.454924239964
D,0.00931235426919,0.350470778272
B,0.423667129541,1.39165427211
C,-0.579933984591,-2.08448064941
B,0.555408477873,1.5899190449
C,-0.480232823072,-1.64490242366
B,0.131483680294,1.87424890171
B,0.242066511078,0.785632084794
B,0.523562302018,2.08513746952
C,-0.648683790139,-2.33768114767
D,0.529195849353,2.19442909679
D,-0.354151161533,-0.412269047185
B,0.175935519795,0.979901217514
D,0.149933247821,1.18080736157
A,0.149162397877,0.664870163032
D,0.352984642014,1.81945239298
A,0.0171374586433,-0.669803005072
C,-0.55623119845,-1.92058855322
B,0.662198956052,1.7695458919
D,0.259631054619,1.62475639125
B,0.107759291081,0.395907403505
B,0.279454740123,0.73353122718
A,-0.0492108197087,-0.896676768729
A,0.0482119460044,-0.376081176535
B,0.438106423069,0.888784515628
B,0.379535108517,1.07415336315
C,-0.091523453623,-0.0807345545976
C,-0.42500231242,-1.41101683691
D,0.223099290851,1.38629977957
A,-0.0724057422728,-0.812018216948
D,0.220080620239,1.37281579117
B,0.290535080823,-0.589420069609
D,-0.323017951956,-0.410607829114
D,0.73030641921,3.15151532592
D,0.0103711783325,0.893386780947
A,-0.129061422794,-1.55535533033
D,0.134464498094,1.02152003108
B,0.422361329201,1.0470971507
B,0.0657370661369,-0.0326741712313
B,0.531444274058,0.88289656047
D,0.159121322826,1.00313760071
B,-0.036224668279,0.226244582519
A,-0.00580763069423,-0.267039734277
D,-0.00147829802909,0.672284876153
A,-0.220150893361,-1.55741444882
B,0.151407967765,0.583211244414
C,0.0193008252697,0.420834883381
C,-0.738834659444,-2.70800877334
C,-0.347396986715,-1.10945582931
C,-0.277526334725,-0.847190793325
C,-0.675280145471,-2.46200588639
B,0.134262050055,0.73936107377
C,-0.556990226127,-1.99642431343
D,0.25004371399,1.59787800338
D,-0.188931353548,0.168233820938
D,0.505764741884,2.32090187917
C,-0.465884474722,-1.58336513722
B,0.119572701261,0.901382774587
A,-0.0269437260186,-0.814204127575
A,0.0210671494829,-0.0709750006356
D,-0.144717363073,0.337210550345
D,0.36050823879,1.64864396465
C,-0.364406728761,-1.16941032141
A,-0.229886339591,-1.89117626989
A,0.0282183729487,0.252071224439
D,-0.194021399759,0.102880556545
D,0.103092145639,0.906340635736
D,-0.267226549442,-0.064513639842
B,0.336704601569,1.14022352538
D,0.336957263515,1.84424718653
B,0.0322780097588,0.635201247238
D,0.227261719405,1.39254621938
D,0.287329692857,1.68293595647
B,0.200217385803,1.46865923639
A,-0.111449634471,-1.56320552451
A,-0.137245675381,-0.95744174327
C,-0.0214624339405,0.25256570988
D,0.288526040631,1.6116827107
A,-0.0437363051586,-0.454505817788
C,-0.38404503317,-1.26753161658
A,-0.0165382578228,-0.266716747899
C,-0.290875781005,-0.864219251215
D,0.332794520462,1.87092402657
A,-0.0106526605969,-0.212262533461
D,0.410239641758,2.05279526053
A,0.00896137243273,-0.69961550729
A,-0.247514096704,-1.71015035067
C,-0.124054150156,-0.151971174715
A,-0.132595688316,-1.19014730119
D,0.123525536133,0.869563779361
C,-0.360418433953,-1.12683451354
C,-0.553354755214,-1.94644756677
A,-0.034390159421,-0.639146899882
A,-0.110215619003,-0.921116292764
C,-0.100942001842,-0.0884773355067
D,0.393323989811,1.89354514296
A,-0.159193045774,-1.49219811158
A,-0.0404322346014,-0.363752145208
D,-0.101136123392,0.179159553691
B,-0.148046125029,-0.00528145951303
A,-0.00540254888291,-0.572923519141
C,-0.317373548645,-0.956761703311
A,-0.183437140552,-1.36519738572
D,-0.164637090225,-0.00822566690303
C,-0.255090168629,-0.748593915154
C,0.150277054841,0.949294467262
C,-0.45039463234,-1.58296761799
D,0.359703463406,1.70627890015
D,-0.14724961533,0.0876366529121
C,-0.18019476681,-0.402061550308
D,0.380549537498,2.08333443161
A,0.0544162335534,0.169109324796
C,-0.89510844942,-3.346611508
D,-0.113447248684,0.332613041785
D,0.173215538172,1.13827124125
A,-0.0967479420784,-1.30789353538
B,0.65007217211,1.96949192593
C,-0.280499981955,-0.836064764729
C,-0.384462022003,-1.24235861689
B,0.345341910783,0.424767024019
A,-0.173815847819,-1.64983921058
D,0.55268999749,2.34801720875
B,0.301709460185,1.05922332658
C,-0.461781883075,-1.58779585621
D,0.195101583007,1.34665199915
A,-0.19288257627,-1.7664275376
C,-0.422955547925,-1.39271063083
A,-0.258157459559,-1.84881128401
A,-0.0750056696623,-0.575151984876
A,-0.00848281789152,-0.457121665971
D,-0.6050830244,-1.16074939217
D,0.232985133324,1.45209853643
C,-0.251856151969,-0.706260925597
A,-0.17630522244,-1.8398425471
A,-0.145397825619,-1.87156563956
C,-0.271362564816,-0.816572621669
A,-0.112364403904,-1.2243814128
A,-0.109181479099,-0.67370675464
A,-0.125155045339,-1.3567853633
D,0.462063791905,2.14919849954
C,-0.162838419947,-0.341432843603
B,0.319026266647,1.0210661495
D,0.734660052958,3.01675440982
B,0.0269227947778,0.426169834019
D,0.25418131456,1.68979437741
D,-0.256056117609,-0.181198302754
D,0.0179992122801,0.801437168717
A,-0.106100661349,-0.618532160281
A,-0.138763567984,-1.20850246897
B,0.433426740637,1.08576537763
A,-0.0533807299277,-1.0033355779
C,-0.0519814693478,0.0829357515797
D,0.466186598313,2.13974615234
A,-0.102085910561,-0.939928246252
B,0.145815701143,0.229624885883
D,-0.102186320943,0.374869889634
C,0.222507904732,1.26818733195
B,0.47383894916,1.73254617125
C,0.20028118062,1.19788194948
A,0.104938138402,0.38075996725
D,0.0369174619978,0.741994198196
A,-0.129311859755,-0.636981180348
C,-0.869591819711,-3.27190688045
C,-0.337337836277,-1.09260967725
D,0.126454972969,1.10794472708
D,-0.225728227623,-0.148770303945
B,0.292396995738,0.652676504624
A,-0.297486773389,-2.09226249587
B,0.157793823483,0.616231153821
A,-0.164077599873,-1.63456993983
C,-0.587746957901,-2.11518963598
B,0.425943261868,0.396768551404
C,-0.0105052210224,0.300824677345
A,-0.347095866975,-1.70529269897
C,-0.689625607369,-2.55205303546
C,-0.309708340024,-0.959967833236
D,-0.497011977026,-0.886907688007
A,-0.0864649848759,-1.27621655157
C,-0.304203211453,-0.929876827058
A,-0.0484031100414,-0.000288589143871
C,-0.391278065946,-1.27208052806
A,-0.0598981460109,-0.865981119583
A,-0.147642545587,-1.31162569128
B,0.330688584811,1.42586424113
D,0.273211892938,1.51504471374
B,0.516992874983,2.43136036999
D,0.420485749178,2.21311349188
C,0.162383950564,1.03948156461
A,-0.172187430641,-1.10017623245
A,-0.0979524674664,-1.21835488456
B,0.30306646248,0.717538796978
A,-0.221576162898,-1.58520947163
D,0.617041349838,2.77549597879
A,0.0456921573752,-0.274901330423
B,-0.168160733105,-0.382059430149
D,0.167054401883,1.22856891499
C,0.125178355725,0.886240283328
A,-0.165390399229,-1.36874940293
C,-0.363864424526,-1.17650875603
A,-0.162115632049,-1.4580820141
A,-0.0691672411441,-0.896096584343
B,0.121969373555,-0.016877870458
B,0.583694832911,0.0461397855335
C,-0.680852763699,-2.47636734996
C,-0.382121499514,-1.27809748798
C,0.204902840449,1.15942370194
B,0.130869651891,-0.0251535423341
C,-0.349196650625,-1.15244148924
D,0.110316263338,0.992358566207
B,0.20254560722,1.02829797125
D,1.11565156516,4.33274876339
B,0.270120854277,0.953168507581
C,-0.0216236798325,0.275217253283
D,-0.240869167649,-0.102747453942
C,-0.731499130138,-2.7274798245
A,-0.0293138172876,-0.554588235549
B,0.151145217267,-0.0208293503497
C,-0.240833399139,-0.630463452627
C,-0.334630427206,-1.01464333222
B,0.333994988135,0.91217226683
C,-0.143372561994,-0.269660543869
A,-0.0768700096417,-1.14789150247
A,0.0840606972102,-0.137015042432
B,-0.126264757928,0.169320827646
B,0.313287041448,2.16361454406
D,0.245082690583,1.20629309618
A,-0.331279731342,-2.43688600022
A,0.0337528043617,-0.357154733485
A,-0.159044649178,-1.52223320519
B,0.241739249589,1.34058491519
B,-0.045981811095,0.571743129396
D,-0.191114080183,0.116112353392
C,-0.608310757384,-2.18904851257
B,0.386718081103,0.314416099018
D,-0.035604282492,0.456895999442
B,0.384118934657,1.96656312638
A,-0.12040949633,-1.3205599731
D,-0.114003278583,0.244332967413
A,-0.158838417849,-1.33032481565
A,-0.28538842061,-1.69594084292
A,-0.244924649952,-1.51244680757
A,0.0280477628161,0.143644707887
B,0.539520827651,1.80610083689
B,0.533777184734,2.00691551506
A,-0.105014527989,-1.18005806477
B,0.571687089263,2.35995596674
C,-0.136773280543,-0.2049237396
D,0.400115097605,1.92246536224
A,-0.333358210421,-2.73001809625
A,-0.129008883646,-1.03349733712
A,-0.0639992976328,0.495419271987
B,0.659332294316,2.64084968746
D,0.131256621904,1.18701478078
D,-0.0785297614455,0.5950741415
B,0.229254282091,1.1532584798
B,0.315207715359,1.06750294702
A,-0.033531615864,-0.461117070613
A,-0.0780598280053,-1.159701134
C,0.0249589070715,0.432190044209
B,-0.112859546627,-0.848724231264
C,-0.215482025628,-0.542299197017
C,-0.993746684013,-3.81664059663
C,0.0973290863258,0.72835560893
D,-0.131304856472,0.261835984378
C,-0.722268885894,-2.62978427745
B,0.229573456616,0.400504972072
A,0.127864181942,0.290457959073
B,0.863621339129,2.82671465294
C,-0.291374300092,-0.866070880407
A,-0.0469626936267,-0.765009504954
B,0.628330990887,1.96055127018
B,0.495833686495,1.39481221446
D,0.28063522854,1.54025459598
C,-0.576183037869,-2.09486836138
A,-0.0576602603938,-0.790840628709
A,-0.152793334354,-1.08186714518
A,-0.215244760748,-1.25303600199
D,-0.52575832544,-1.092418265
B,0.511986523137,1.81093943542
B,0.511066739204,2.2035857297
D,-0.260375047772,-0.0943903827414
C,-0.00401156260655,0.322302331291
B,0.0609115478673,0.493200119467
A,0.00486986761393,-0.407569370039
B,0.258325562029,0.895196883644
A,-0.137700364913,-1.12239662563
B,0.0130393659907,-0.650473891333
D,-0.079326610471,0.212437284248
C,-0.265087817355,-0.778639282395
C,-0.317879397321,-0.994495228719
A,-0.13961891612,-0.938573979739
B,0.297703429513,0.822443217264
C,-0.410353919754,-1.38307258811
D,0.172194152473,1.22820095726
C,-0.149336392054,-0.300410372226
A,-0.0946301762535,-0.601603907633
D,0.359932903997,1.77044285044
D,-0.243540347317,-0.015948002094
D,0.11862779577,1.18749976372
B,0.230265780098,1.15106812718
C,-0.530135151571,-1.88228130382
D,-0.19468401787,-0.137983612125
C,-0.620004251658,-2.21455558074
D,0.275200800427,1.45413064024
A,0.0426080637021,0.0124685213885
B,0.452165159721,1.64990408077
C,-0.716187655278,-2.64121305733
C,0.0237119222981,0.454053350484
B,0.480048025654,1.27060386758
D,-0.112866509391,0.44419519075
B,0.3755168461,0.616531601101
A,-0.015915038001,-0.300719191652
B,-0.0240026094202,-0.00908316145492
D,0.242954814061,1.48583250128
A,0.00829200245672,-0.110116364302
D,0.226610242141,1.30770074924
A,0.116971567531,0.670334457104
C,-0.563439895762,-1.99705423067
C,-0.281499252599,-0.798147765541
B,0.186651459873,-0.235429509502
D,-0.689789313709,-1.59915051409
A,-0.134379495021,-1.06164507675
A,-0.0783795769717,-0.779388886693
C,-0.376410870715,-1.23580990715
D,0.195299889231,1.34960153102
A,-0.0238763691948,-0.950526049885
D,-0.358416348661,-0.558821801659
D,0.403474855121,1.94018125221
D,0.438481092754,2.18222296114
A,-0.197721184059,-1.50672118075
A,-0.175414231417,-1.34102893601
A,-0.185540944929,-1.01241300109
A,-0.142294820401,-0.846950218036
B,0.123828457467,0.312807536239
A,0.0303954737291,-0.437330914349
A,-0.0828038753291,-1.0562170594
B,0.394860304571,0.68384897243
B,0.162571667551,0.176457279263
C,0.129010048774,0.873128535761
B,0.292045523515,0.411425664017
A,-0.0887291273977,-1.30252703324
C,-0.14461141513,-0.254780465231
C,-0.107112625518,-0.0835870393797
D,-0.0430578016172,0.608100350653
A,0.0480752918041,-0.386767958009
B,0.147911475805,1.01163962721
D,0.506419161752,2.25504255066
C,-0.35243045052,-1.11504635037
C,0.0704658876476,0.619471742598
C,-0.536101873298,-1.93507116586
B,0.427893704641,1.88659280136
C,0.0926353296723,0.733702729193
A,0.166271940991,0.176933523552
D,0.279813552702,1.57975311158
B,0.391111866411,2.61552698677
D,0.486433574597,2.62447374337
D,0.29254230886,1.51430706383
A,-0.193603959124,-1.70805825264
A,-0.0522809648114,-0.650435704642
B,0.344411995104,0.192572147371
A,-0.0995450791952,-0.893237268604
D,0.0675346368607,0.90579721542
A,-0.0256400355263,-0.262831037136
D,-0.172892785148,0.169486665152
C,-0.128579580119,-0.198637312691
D,-0.151906669445,0.338018823077
D,0.0200063799205,0.869165754539
C,-0.562787175739,-1.98008345581
A,-0.0502459220647,-0.512418017628
D,0.438425279805,1.96351723466
C,-0.311803362028,-0.957395527708
A,-0.0409337421088,-1.28889452017
C,-0.203581573073,-0.49298099072
C,-0.469933239015,-1.63103170732
D,-0.198321170535,0.00442573109572
A,-0.118257083818,-1.36636050672
D,0.122887511634,0.888087007411
B,0.620156393725,1.99052932676
C,-0.721862381643,-2.65955593515
B,0.0974830885645,-0.249109635985
C,-0.331800202265,-1.02960640757
A,-0.147367354265,-1.22211928116
C,-0.259389888753,-0.733900977683
A,-0.28671602341,-1.44672732106
B,0.464140584598,1.23381726322
A,-0.127448573983,-1.24592325183
D,-0.18097943221,0.0208794318663
B,0.42787224418,1.13081267421
A,-0.250354385463,-1.3496644441
B,0.172561411366,-0.23694246548
B,0.233474786078,1.84574972575
B,0.063682033733,-0.403602809612
D,0.29365064969,1.57483524272
A,-0.0399004873468,-0.956295526581
B,0.121565915996,0.427421592675
C,-0.286790509234,-0.852147990863
B,0.334607477124,1.31742598573
B,0.395241902131,1.42640711071
B,0.43957867271,0.442051939163
B,0.186154542592,0.950869942454
C,0.0486032810779,0.5633657459
A,-0.0280341151787,-0.378536355258
D,0.0923550038174,0.957641015616
D,0.0567719488898,0.857164496162
B,0.447666696827,1.46123314928
C,0.00564173301435,0.354987702559
B,0.45624453122,1.6673912036
D,0.173942552784,1.4363837592
D,0.341731771025,1.68464821673
