class,x,y
A,-0.293148001589,1.12960062444
A,-0.0488392668478,1.75449429337
A,-0.440560252488,0.802138903672
C,-2.51004135499,2.40489600273
B,1.98877865417,-0.478149843111
D,-1.2761753078,0.0489915967976
C,-0.610461560789,0.288070308591
A,-0.989970970618,0.852884038308
B,-0.432814336826,0.357934196561
C,-0.399544779533,-0.10907340123
B,2.03191767229,-1.11456032742
C,-1.08537301717,0.246433712978
B,-0.879263152023,-0.474538902116
B,1.59756822948,-0.728085514559
D,-0.901606373527,0.108765132015
B,2.46122688532,-0.941608887703
C,-0.965650530367,0.0349443763127
A,0.639381194814,1.62557016555
A,-0.314690731362,1.59265087649
C,-1.16251897341,1.05397717628
A,-0.99603094772,0.148876999339
D,-1.83542564094,0.060211317776
A,-0.762366994492,1.05428050935
D,-1.3898492969,0.618561079862
D,-1.10936894163,0.496508569
C,-3.01390332536,1.93345770365
A,-1.0236959425,1.44231906388
B,2.3401074579,-0.85199426667
C,-2.08506078897,1.61647732408
C,0.0551564795916,-0.169364443133
B,-0.220812192721,-0.00443004560371
C,-2.47744568998,1.97812123311
B,0.057131667503,-1.09246262753
D,-0.883434734996,-0.516195585174
B,1.51897031191,-0.220228691726
B,0.645558915573,-0.312494785657
D,-2.29577676885,1.35372912217
D,-3.61896701788,2.08791288793
D,-0.821679896849,0.0517597090392
D,-2.6545614246,1.17747344354
A,-1.66075995072,1.66502108692
C,-0.710583405072,0.333496136747
B,3.13302660181,-1.32645491129
C,-1.64309828133,1.22011555891
D,-0.545568142898,-0.250429395546
A,-1.13954689386,1.64230787691
B,1.32533822095,-0.505247794307
A,-0.753090957063,1.33865486551
A,-1.45301197825,2.06795258134
C,0.643888512266,-0.929363738646
D,-0.408285100603,-0.285481505886
D,-0.544167395514,0.248850826673
B,-0.26674071033,-0.489559220307
B,2.26655375813,-0.285707255154
B,2.08186226026,-0.540914909517
D,0.613036329045,-0.956648050625
A,-3.16800319755,2.31761951047
A,-1.66762445514,2.29152734097
D,1.41704882147,-0.696053180923
C,-1.50145643289,0.500628745281
A,-1.05961034614,1.38562595085
D,-2.78645119873,2.21023561051
D,-2.60658004391,1.41446179945
B,1.84273140512,-1.14492722182
A,-0.723651178674,2.04428184953
C,0.0724399402075,-0.544126744736
B,1.16954291409,-0.74382482758
D,0.68627204897,-0.597032927045
C,-1.37189605665,1.06476986958
C,-1.93498402193,1.03771960604
B,1.5529265836,-0.404007629395
B,2.0170897337,-1.46781873914
C,-1.34018972675,1.12542200558
A,-1.85624334592,1.93637339834
C,-1.3109908987,1.04099390489
A,-0.780422230491,1.23929817602
A,-1.31237342653,0.786915617927
C,-2.21819270074,1.60784043714
C,-1.87593986544,1.26158928141
D,-0.165154822122,0.163574110911
B,0.24114251664,-0.246669736121
D,-1.42649493436,0.814042625641
D,-0.888762060212,0.640179581964
C,-2.15292765521,1.84938403228
B,1.94600701647,-1.62206925024
B,1.05166241919,-1.5452254653
D,-2.56812229057,1.49259782765
D,-1.57280181028,0.32075267179
A,-0.606448142495,1.50650017978
B,-0.138493830017,0.329082185195
C,-1.64376509369,1.56619107299
C,-2.55960564531,1.87076859895
C,-2.09206702676,1.54474908986
D,-2.50403154183,0.674382843051
A,-0.874962684292,1.70660221279
B,0.218359882934,-0.353058727741
C,0.193744811171,-0.994995083198
D,-1.91410469029,1.35425632485
A,-1.20000550427,1.44853253859
A,-1.25955757537,1.35477817678
D,-0.482814794228,0.0171204795808
C,-2.13345655819,1.26081161235
A,-1.88904685844,1.55562426826
B,2.7565601896,-1.46542864388
A,-3.39172631543,1.98176168938
C,-0.717465112124,0.097350536613
C,-0.735506163676,-0.0992645223745
A,-1.09594916609,1.42185081898
A,-0.503898591539,2.4293476992
D,-1.88336453671,0.577328561944
D,-0.652563357668,0.0782935255514
A,-0.934484081426,2.42267795984
B,1.2236499487,-1.2645971146
C,-1.50319522072,1.01528452068
C,-2.13984841792,1.64472068607
B,2.94181525264,-1.232608333
A,-1.82877916353,1.44726836859
D,1.41295085447,-1.2848586551
C,-0.530457840375,0.320754206403
D,-2.29668547756,1.01174740073
C,-0.436800783008,0.191170274175
B,2.24754749258,-1.87225384454
D,-0.140711231077,-0.000189746205372
D,0.439125086635,-0.788855878551
D,-0.760537095101,0.0165386886915
B,1.87943933567,-1.35063815391
B,3.29468341639,-1.31803432531
B,0.233008602099,-0.588833118484
D,2.15391848237,-1.23760091283
B,0.266611507046,-0.0389028530087
A,-1.34759627421,1.02828725861
C,-2.24991138688,1.7262232881
A,-1.81969429328,1.03938935868
A,-1.94377224634,1.45203959425
C,-1.45112264066,0.765054345847
A,0.419678005466,1.60481895851
D,1.20306730794,-1.25773754035
C,-1.39698994424,1.26287129567
A,-2.11100807027,1.8446601485
C,-1.75177365149,1.55985073321
D,-1.19097031901,0.475599092448
B,0.275585329917,-0.986214439205
A,-0.123192333562,1.30294665431
D,-1.5777389118,0.500975226046
C,-0.57024325665,0.602816645
A,-0.193565537301,1.07986908411
A,0.369005467067,1.81199051561
B,0.931433104398,-0.490093335646
A,-0.840585230682,1.0957372415
A,-0.0612713592422,0.90618344734
A,-0.22787214655,1.26685876737
A,-0.491735951531,1.27328946982
C,-2.3263401158,2.05552804803
D,-2.42535790888,1.41768880767
D,-1.56212919096,0.638202050829
B,3.3191066555,-1.5635450599
B,0.119974385681,-0.437981699126
D,-0.898388807194,0.432794007186
D,-0.952734020729,0.219273483446
A,-1.50420671288,1.00071605924
C,0.105563668373,-0.122244211213
B,2.99575288538,-0.59363774814
A,-1.77839948889,1.59077774894
A,-1.03741903555,1.1186249093
C,-1.16531482169,0.715267187283
D,-1.19410840801,0.316367235256
C,-1.42425558074,1.46131973843
C,0.116813302214,-0.526408046083
C,-0.813495729078,0.975876632827
C,-0.793750784013,0.881698804983
B,0.0494305388837,0.059525157838
A,-0.107797548831,1.00772616971
B,0.435076840403,-0.413087719609
A,0.0264768134685,0.876294724833
A,-1.29740977831,1.81841748143
A,-1.12186761308,2.40033299247
C,-1.90901051267,1.5497057577
C,0.98417966815,-0.854245324526
C,0.64122099277,-1.137978604
C,-1.30224439677,0.569400697427
C,-0.774322656087,0.525383194769
D,0.956085499325,-0.644620425259
B,2.18977671471,-1.34391346885
C,-1.13723663099,0.541017538382
A,-1.63056606428,1.60682508586
C,-1.74475922636,1.40001519843
A,-0.834194074115,1.4548950165
A,-1.15131936005,1.86378984848
A,0.0998209513031,2.34916857599
B,0.680813269389,-0.48335920865
B,-1.74121112546,0.605835380053
D,-2.31433109063,0.939899462607
D,-0.0178704549198,-0.659552015884
D,0.266604105018,-0.172668025309
A,-0.590165581468,1.12910837672
C,-1.55932024116,0.518190541278
A,-0.907627122046,1.70421853589
D,-2.34742814949,1.25636417245
D,-2.67536772066,0.817947227162
D,0.0615340825766,-0.38712083421
C,-0.0540907123157,0.107665848774
B,0.770374816973,-0.836614080597
D,-1.46232074026,0.456251451671
B,0.993758883708,-0.27270249523
B,0.457210990765,-0.0309935525377
C,-0.69709282741,0.128910824256
C,-1.06895059636,0.717032417815
D,-2.70976534588,1.46280242533
A,-1.47060021948,1.92535561379
B,2.14264076305,-1.19642031967
B,0.0503123924413,-0.418982285738
A,-0.742990146382,1.7804357722
A,-1.02405744409,1.258553136
B,-0.339996698479,-0.85187905214
C,-0.683007766379,0.542467427999
C,-0.460320525494,-0.0472145264968
D,-3.156337045,1.19308181804
A,-0.146014885243,1.19660753504
C,-0.855670080342,0.925614782745
D,-1.8359413166,1.2954225949
D,0.387507377691,-0.240827698089
A,-0.507647930125,1.91402092972
D,-1.6610464973,0.732148879301
C,-0.418708535027,-0.0830632366068
C,-0.67033225738,0.023189178952
C,-2.20389796959,1.83632038571
D,-2.11346103169,0.506385919452
D,-1.11648130627,0.504210386317
A,-1.29502791603,1.83542239749
D,-0.655371062646,0.260655185745
B,2.68643816267,-1.2585969662
D,2.29263883694,-0.383046327585
B,1.06806247351,-0.909276073542
D,0.0419417271351,-0.212061257923
C,-1.01560541219,0.395152308493
C,-1.44883750163,0.914311968412
C,-0.909021982912,0.343119200258
D,-1.12812803121,0.30180174958
A,-0.920592821369,1.55815072269
D,-2.44116107348,1.42816440347
A,1.11064393329,1.90103942801
C,-0.776259433289,-0.115400886112
C,0.162098687578,-0.0774563303805
C,-1.64322079277,1.61460105828
C,-2.22663563606,1.751543197
C,-1.24798481476,0.912950539367
B,1.75627277335,-1.03622216443
B,0.558995195976,-0.571890478009
D,-2.05298614589,0.178963612811
A,-0.674260826944,1.21714562548
C,0.414500366073,-0.777707177257
A,-2.16719802183,1.93817410776
D,-1.93756055216,0.800746943272
B,-1.88125312764,-0.242665398177
B,0.307444900228,-0.647144639707
C,-0.664874791277,0.193047014989
B,0.216319980595,-0.423965046709
A,-0.803141019964,1.20145049932
C,-1.95690225133,1.34624742561
B,0.138506137198,-0.429006514684
A,-0.54347131064,1.92292979017
B,0.48954441448,-0.896085655253
B,0.809281414014,-0.537090963273
A,-1.97069130779,1.6821194449
A,-1.49848053897,1.81555690634
A,0.21510466164,1.0959401956
D,-0.428028723389,0.100018214184
A,-1.38724708919,2.43849525826
A,-0.286086837239,1.66591937276
B,2.82374061217,-1.28169249281
C,-0.861206397779,0.265550643202
C,-2.93823620397,2.24352337745
C,-1.49387072826,1.02221468685
A,-1.51343968401,0.968917161414
A,-0.354915467684,1.36402254662
C,-0.196381117053,-0.0758089877403
C,0.893715445244,-1.52510844575
D,-0.0794392578473,-0.362540050441
A,-1.62353898431,0.949773584734
