class,x,y
D,3.75599574705,-2.98225468958
C,0.991798954355,-2.28405819811
B,3.24416432552,3.02129446717
D,0.655582150081,-0.175814876346
A,1.89674089735,0.713664826313
A,2.52597567982,1.07990539378
A,5.27876319553,0.635736891602
B,4.86828548535,1.7147426751
A,1.34664470689,0.839578718005
D,2.4623872775,-3.96069325697
D,3.85133050999,-4.04524464629
D,1.63045658076,-2.18861921008
D,1.93383939373,-1.7692499577
C,-0.197493332234,0.421859126298
B,1.76081606949,3.31130102864
D,3.35945698216,-4.69295640914
B,3.13900819445,2.13928283298
B,4.41498040686,1.08171428486
A,3.96636659474,0.526053653621
A,3.58878131684,-1.55748237174
B,3.87701252658,0.880245649784
D,2.45725374278,-2.31330398907
A,2.96207196915,-0.925554664075
A,4.18209913113,0.228834789601
A,3.73682909713,-0.0627083771709
C,0.722827977015,-2.03491558161
C,0.00741692711291,-0.547406963648
A,3.22725143057,0.615646640427
C,1.24155051799,-3.14372790354
D,2.07922490822,-3.05250288077
B,2.86617324153,0.952716122411
C,1.36999926633,-1.50559402503
B,2.32772593141,2.29487795435
C,1.01525795267,-1.51917826889
B,2.9510283396,1.50126624942
C,0.595989561229,-3.05350275054
C,0.783503166535,-1.24555680991
A,3.31195788862,0.583839038003
D,2.65029279076,-1.85344389372
D,1.6114346418,-1.46806146777
A,3.13442906669,-0.864083137891
B,4.21069939216,0.837853052634
C,2.4155863427,-0.103585512367
A,3.59741298338,0.302483456962
A,3.09932024436,-0.678383306048
C,1.95047861267,-2.03302956542
A,2.15447226696,0.881968669022
D,2.66764489418,-1.21717396235
B,2.15495773072,-0.67711875906
D,2.58200211149,-2.33010400566
B,4.23738305356,2.84483387716
D,3.87022606607,-2.60382764191
B,2.87474137277,0.808046819496
D,2.64478082508,-3.38513589123
B,1.89173756038,1.56976063746
A,2.49921506695,1.48539608487
B,3.96447949133,1.46972927534
C,1.4086246941,-0.649862622611
D,2.47141808756,-3.13533833151
D,2.77690711511,-1.02474706574
A,4.89004990237,1.19823445286
D,3.74203454611,-1.68025110029
A,1.69659499026,1.12122984897
D,5.28887073052,-3.42786720147
A,2.96064857105,2.27347651139
B,2.48665820212,0.0557591395209
C,0.713710132048,-1.60719508259
C,2.80361415757,-1.63549083314
C,0.55251480408,-2.07406521649
C,2.16808361019,-1.93943014296
B,3.55438054875,1.80545559449
C,3.10365780052,-2.38357926708
A,2.19529175098,1.83037282407
D,4.30357959037,-2.95015849082
C,0.934175440096,-2.98554585477
C,3.37222109839,-1.61942963382
C,1.04112621056,-1.19538972645
B,3.04541964826,0.91445104554
B,2.15920521467,0.163781371339
B,2.91736993074,1.04837178461
A,2.83972652059,0.31932154647
B,1.15314127093,0.855009582816
D,3.5151108881,-2.9965837539
B,3.4496387879,1.07873939909
C,0.903126656658,-1.65398648354
C,0.786958671312,-3.16764658798
D,2.99216385348,-1.09305294888
A,1.81918738066,0.337826233919
A,2.38387751406,-1.30118374006
C,0.195459726769,0.21178854625
B,2.88470916648,1.47754216528
A,2.86965003463,-0.448871204715
B,3.57435327109,1.93964919307
C,3.38993696631,-0.625828696288
B,0.456330885802,0.681212270555
B,3.79080475704,1.81214362456
A,4.07399765141,-0.36425103792
A,5.02553925099,0.677688709769
B,1.62870569896,0.120605679947
C,-0.309479416956,-2.39885993527
C,1.06696150611,-2.7482867304
D,3.09152031923,-3.26308377557
C,1.54701093135,-3.21836732572
A,3.52552064283,0.329529062284
A,4.43792657588,-1.07757209678
C,0.785196130003,-0.808358649297
D,2.914703892,-3.39238522352
D,4.0521629883,-3.46133919363
A,4.49453674932,-0.829418658799
C,0.703494261507,-2.68888148757
C,2.25207271704,-3.57720146399
A,2.85018528127,-2.07468013796
B,2.34028763985,1.11743135243
A,1.65838046224,0.793313278025
D,2.9226816223,-2.37245529826
D,3.10031992647,-2.53977000208
B,3.50990765129,2.31535093092
B,3.70694793872,1.1136854352
B,1.73898427624,0.760699892898
A,2.02343910953,0.462804209412
A,2.15095320075,0.825844803458
C,3.30210878836,-1.94472170041
B,1.41987862955,2.16879495781
C,0.259290752992,-1.35972157627
B,2.75612667067,1.93868629815
A,1.45471873899,0.274033394424
D,4.82636611732,-1.28971204024
A,2.6054337556,1.11992219718
D,2.19459672056,-3.05896370622
B,4.36789702249,0.695294158331
B,2.27123086298,-0.254033088546
B,3.45084678936,1.16232736737
A,1.64536277316,0.634390648137
D,4.2360662835,-4.89241381358
D,3.57073352847,-2.91024786644
C,2.56734107742,-3.67521610292
C,-0.12016572474,-2.01433394211
C,2.19793468941,-1.91206384022
C,0.0904569442607,-0.903707489757
D,3.70957435462,-3.99596863832
B,1.98315487966,0.184321347651
B,2.54501036136,0.397920229853
A,2.67147439549,1.08548010868
D,2.11341702792,-3.30387446333
A,3.42084872311,0.195406566714
D,2.52310737427,-2.6346793556
D,2.58083757047,-1.82877514567
D,2.10577597072,-3.07636354921
D,5.63478140723,-3.03788422314
C,0.925060905239,-0.82672054437
